"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2024-07-01","30569","13237559262","433038","345000","127159","4.69"
"Texas","2024-06-01","29813","12757981981","427933","345000","124861","4.62"
"Texas","2024-05-01","33402","14718547062","440648","345000","118098","4.31"
"Texas","2024-04-01","30672","13187639623","429956","340000","109030","3.96"
"Texas","2024-03-01","28534","11843211382","415056","336500","102551","3.75"
"Texas","2024-02-01","24012","9652610212","401991","332990","96987","3.52"
"Texas","2024-01-01","19328","7619102071","394200","324950","93353","3.4"
"Texas","2023-12-01","23460","9620720383","410090","335000","92200","3.37"
"Texas","2023-11-01","22863","9187141316","401834","325000","101030","3.67"
"Texas","2023-10-01","24696","10084705921","408353","330000","101637","3.69"
"Texas","2023-09-01","26433","10991064505","415808","338000","99212","3.59"
"Texas","2023-08-01","31513","13248240501","420405","340000","95330","3.4"
"Texas","2023-07-01","29799","12713758333","426650","345000","91479","3.24"
"Texas","2023-06-01","34321","14788935577","430900","347688","89076","3.13"
"Texas","2023-05-01","34426","14682060891","426481","345000","81930","2.85"
"Texas","2023-04-01","28535","11830499311","414596","337000","77985","2.7"
"Texas","2023-03-01","30900","12411019809","401651","330000","77941","2.66"
"Texas","2023-02-01","23524","9181336216","390296","325000","76399","2.57"
"Texas","2023-01-01","18037","6943018246","384931","318990","79141","2.63"
"Texas","2022-12-01","25052","9969914565","397968","330999","80837","2.64"
"Texas","2022-11-01","23073","9216593229","399453","330000","88843","2.82"
"Texas","2022-10-01","26153","10562897070","403888","335000","90452","2.8"
"Texas","2022-09-01","30988","12696173677","409712","340486","87670","2.66"
"Texas","2022-08-01","33782","14020865038","415039","344000","83348","2.49"
"Texas","2022-07-01","32535","13735216873","422167","350000","81036","2.4"
"Texas","2022-06-01","37462","16402167869","437834","360000","68932","2.01"
"Texas","2022-05-01","36717","16261577491","442889","360000","51986","1.5"
"Texas","2022-04-01","34033","14646507217","430361","349900","43370","1.25"
"Texas","2022-03-01","35315","14390156853","407480","335000","37331","1.07"
"Texas","2022-02-01","27380","10645123276","388791","325000","36134","1.04"
"Texas","2022-01-01","25046","9393204175","375038","313160","38326","1.11"
"Texas","2021-12-01","35749","13937318744","389865","321000","41641","1.21"
"Texas","2021-11-01","32626","12432258192","381053","315000","48099","1.39"
"Texas","2021-10-01","33703","12668482818","375885","310000","53308","1.55"
"Texas","2021-09-01","36641","13705464609","374047","308000","55390","1.6"
"Texas","2021-08-01","38548","14619967000","379266","310000","55768","1.61"
"Texas","2021-07-01","39117","15089305412","385748","310000","55240","1.59"
"Texas","2021-06-01","41102","16005623126","389412","310000","47154","1.35"
"Texas","2021-05-01","37416","14304820592","382318","301000","42359","1.22"
"Texas","2021-04-01","35859","13207118242","368306","290500","43095","1.27"
"Texas","2021-03-01","35117","12645359160","360092","283000","41795","1.26"
"Texas","2021-02-01","23940","8251782177","344685","275000","44749","1.37"
"Texas","2021-01-01","24157","7776412900","321911","262000","50185","1.53"
"Texas","2020-12-01","36312","12295819486","338615","270000","52972","1.63"
"Texas","2020-11-01","31466","10487250995","333288","269900","60730","1.9"
"Texas","2020-10-01","36229","12004344255","331346","269000","66561","2.12"
"Texas","2020-09-01","36903","12029476744","325975","265000","69148","2.24"
"Texas","2020-08-01","38058","12441385964","326905","265225","73163","2.42"
"Texas","2020-07-01","43459","14275635604","328485","269000","79274","2.65"
"Texas","2020-06-01","38249","11960709408","312706","260000","82263","2.81"
"Texas","2020-05-01","27142","7975753870","293852","249000","89324","3.09"
"Texas","2020-04-01","25859","7649761134","295825","249900","92429","3.11"
"Texas","2020-03-01","30513","9121887683","298950","248900","91233","3.02"
"Texas","2020-02-01","24637","7207388279","292543","244000","90279","3"
"Texas","2020-01-01","20861","5809839194","278502","233000","90175","3.01"
"Texas","2019-12-01","29672","8947919499","301561","249000","87867","2.96"
"Texas","2019-11-01","25568","7334042160","286844","239999","98094","3.34"
"Texas","2019-10-01","29199","8486757597","290652","241000","103132","3.52"
"Texas","2019-09-01","28937","8373315590","289363","242000","104993","3.61"
"Texas","2019-08-01","35140","10341652287","294298","245000","107790","3.73"
"Texas","2019-07-01","35962","10708478717","297772","247000","109111","3.79"
"Texas","2019-06-01","33855","10369327656","306286","249990","109562","3.83"
"Texas","2019-05-01","36424","11060566625","303661","247000","105796","3.68"
"Texas","2019-04-01","31827","9314756957","292668","240000","100518","3.52"
"Texas","2019-03-01","29259","8357008287","285621","235000","97476","3.43"
"Texas","2019-02-01","22437","6106168259","272147","230000","94278","3.32"
"Texas","2019-01-01","17913","4752867272","265330","221450","93305","3.29"
"Texas","2018-12-01","25569","7296794707","285376","235000","90111","3.17"
"Texas","2018-11-01","24891","6995984883","281064","230000","99818","3.49"
"Texas","2018-10-01","27098","7514602939","277312","229900","102905","3.59"
"Texas","2018-09-01","26549","7433140072","279978","230000","104436","3.65"
"Texas","2018-08-01","33882","9754126834","287885","236000","106795","3.72"
"Texas","2018-07-01","33582","9729710157","289729","239458","106308","3.74"
"Texas","2018-06-01","35277","10515612100","298086","241500","104425","3.7"
"Texas","2018-05-01","34622","10097166198","291640","240000","99278","3.52"
"Texas","2018-04-01","29973","8467601464","282507","231000","92908","3.3"
